,Image Name,Compression Name,Quality Factor,Compression Rate (uncompressed image size / compressed file size),SSIM Score,PSNR,Uncompressed Reference Index,Uncompressed Reference Label,Reference Probability,Compressed Probability of Reference Label,Confidence Drift
0,20220422-20220424-elarbi-coachella-4B5A8619.CR2,baseline_jpeg_q1.yaml,1,0.006,0.809,25.174,981,ballplayer,0.16,0.0,0.98
1,20220422-20220424-elarbi-coachella-4B5A8887.CR2,baseline_jpeg_q1.yaml,1,0.006,0.692,23.78,541,drum,0.59,0.28,0.527
2,20220930-elarbi-ner-4B5A2550.CR2,baseline_jpeg_q1.yaml,1,0.006,0.575,25.948,573,go-kart,0.82,0.25,0.7
3,20230501-elarbi-neugradphotos-4B5A7958.CR2,baseline_jpeg_q1.yaml,1,0.006,0.64,23.989,557,flagpole,0.88,0.92,0.048
4,20230501-elarbi-neugradphotos-4B5A7992.CR2,baseline_jpeg_q1.yaml,1,0.006,0.78,24.159,999,toilet tissue,0.13,0.07,0.44
5,20230501-elarbi-neugradphotos-4B5A8009.CR2,baseline_jpeg_q1.yaml,1,0.007,0.518,20.639,683,oboe,0.18,0.02,0.881
6,20240420-elarbi-hauntedmoundCHI-4B5A1283.CR2,baseline_jpeg_q1.yaml,1,0.005,0.875,24.097,818,spotlight,0.15,0.0,0.998
7,20240420-elarbi-hauntedmoundCHI-4B5A2628.CR2,baseline_jpeg_q1.yaml,1,0.006,0.576,24.915,841,sweatshirt,0.17,0.01,0.964
8,20240420-elarbi-hauntedmoundCHI-4B5A2629.CR2,baseline_jpeg_q1.yaml,1,0.006,0.595,24.553,489,chainlink fence,0.93,0.97,0.034
9,20241014-elarbi-yunggravyBOS-4B5A0014.CR2,baseline_jpeg_q1.yaml,1,0.006,0.79,25.395,643,mask,0.35,0.56,0.598
10,20241014-elarbi-yunggravyBOS-4B5A0116.CR2,baseline_jpeg_q1.yaml,1,0.006,0.592,23.931,796,ski mask,0.23,0.47,1.081
11,20241014-elarbi-yunggravyBOS-4B5A9992.CR2,baseline_jpeg_q1.yaml,1,0.005,0.664,24.776,585,hair spray,0.27,0.03,0.869
12,20241017-elarbi-bladeeNYC-4B5A2464.CR2,baseline_jpeg_q1.yaml,1,0.006,0.832,23.88,819,stage,0.69,0.19,0.719
13,20241017-elarbi-bladeeNYC-4B5A2603.CR2,baseline_jpeg_q1.yaml,1,0.006,0.572,27.709,650,microphone,0.22,0.02,0.899
