,Image Name,Compression Config,Chromiance Downsample Factor,Block Size,Luma Quantization Max,Luma Quantization Stdv,Chroma Quantization Max,Chroma Quantization Stdv,Encoded Image Data Size,Huffman Table Size (kB),Header Info Size (kB),Compression Ratio,Compression Preprocessing Time (mS),Image Compression Time (mS),Entropy Encoding Time (mS),File Encoding Time (mS),Decompression Preprocessing Time (mS),Decompression Entropy Decoding Time (mS),Decompression Block Processing time (mS),SSIM Score,PSNR,Uncompressed Reference Index,Uncompressed Reference Label,Reference Probability,Compressed Probability of Reference Label,Confidence Drift
0,20220422-20220424-elarbi-coachella-4B5A8619.CR2,big_blocks.yaml,1,24,50,12,50,12,2026.248,238.836,245.903,0.026,4322,4369,36232,447,46,45218,4872,0.831,15.184,981,ballplayer,0.16,0.02,0.862
1,20220422-20220424-elarbi-coachella-4B5A8887.CR2,big_blocks.yaml,1,24,50,12,50,12,3198.504,320.617,327.685,0.04,4331,4922,36544,779,64,57783,3981,0.558,13.316,541,drum,0.59,0.33,0.453
2,20220930-elarbi-ner-4B5A2550.CR2,big_blocks.yaml,1,24,50,12,50,12,7184.346,292.618,299.686,0.084,4413,3320,39781,1586,72,107210,3812,0.492,14.58,573,go-kart,0.82,0.57,0.306
3,20230501-elarbi-neugradphotos-4B5A7958.CR2,big_blocks.yaml,1,24,50,12,50,12,3862.817,363.349,370.416,0.048,4263,4033,36628,971,77,68538,3932,0.482,13.609,557,flagpole,0.88,0.96,0.099
4,20230501-elarbi-neugradphotos-4B5A7992.CR2,big_blocks.yaml,1,24,50,12,50,12,2756.954,257.531,264.599,0.034,5180,3200,35807,600,64,52299,4197,0.577,9.474,999,toilet tissue,0.13,0.0,0.995
5,20230501-elarbi-neugradphotos-4B5A8009.CR2,big_blocks.yaml,1,24,50,12,50,12,6081.464,310.741,317.809,0.072,4325,3418,38506,1344,88,91328,4514,0.267,14.081,683,oboe,0.18,0.23,0.239
6,20240420-elarbi-hauntedmoundCHI-4B5A1283.CR2,big_blocks.yaml,1,24,50,12,50,12,2687.424,126.321,133.389,0.032,4817,4264,37162,743,32,52884,3860,0.628,8.474,818,spotlight,0.15,0.21,0.432
7,20240420-elarbi-hauntedmoundCHI-4B5A2628.CR2,big_blocks.yaml,1,24,50,12,50,12,4762.935,323.599,330.666,0.057,5467,3260,38340,1049,79,78961,4057,0.435,10.351,841,sweatshirt,0.17,0.1,0.404
8,20240420-elarbi-hauntedmoundCHI-4B5A2629.CR2,big_blocks.yaml,1,24,50,12,50,12,4090.502,314.566,321.634,0.05,4641,3309,37253,976,64,68680,4519,0.306,8.684,489,chainlink fence,0.93,0.97,0.036
9,20241014-elarbi-yunggravyBOS-4B5A0014.CR2,big_blocks.yaml,1,24,50,12,50,12,2576.936,280.988,288.056,0.032,5101,3937,36613,595,59,53170,3939,0.627,12.136,643,mask,0.35,0.04,0.89
10,20241014-elarbi-yunggravyBOS-4B5A0116.CR2,big_blocks.yaml,1,24,50,12,50,12,4522.488,422.043,429.11,0.056,4345,3517,38469,1051,109,76195,3923,0.614,13.862,796,ski mask,0.23,0.02,0.916
11,20241014-elarbi-yunggravyBOS-4B5A9992.CR2,big_blocks.yaml,1,24,50,12,50,12,7063.346,249.416,256.483,0.082,4544,3384,40503,1629,60,105895,4389,0.542,15.073,585,hair spray,0.27,0.06,0.781
12,20241017-elarbi-bladeeNYC-4B5A2464.CR2,big_blocks.yaml,1,24,50,12,50,12,3163.175,317.63,324.697,0.039,4386,3516,38963,693,72,60696,4432,0.704,14.405,819,stage,0.69,0.52,0.249
13,20241017-elarbi-bladeeNYC-4B5A2603.CR2,big_blocks.yaml,1,24,50,12,50,12,7502.778,308.425,315.492,0.088,4641,4800,40567,1634,92,110761,3766,0.546,16.144,650,microphone,0.22,0.4,0.842
14,20241111-elarbi-thehellpNYC-4B5A4361.CR2,big_blocks.yaml,1,24,50,12,50,12,9426.374,289.137,296.204,0.109,4589,3278,43141,2434,113,137212,3913,0.36,13.742,860,tobacco shop,0.33,0.04,0.887
15,20241113-elarbi-thehellpBOS-4B5A4416.CR2,big_blocks.yaml,1,24,50,12,50,12,5727.116,283.312,290.379,0.068,4706,4625,38356,1232,67,91281,4223,0.524,15.538,526,desk,0.66,0.56,0.152
16,20241113-elarbi-thehellpBOS-4B5A4417.CR2,big_blocks.yaml,1,24,50,12,50,12,2816.729,228.296,235.363,0.034,4551,3984,36638,631,50,56306,4070,0.71,12.46,784,screwdriver,0.37,0.27,0.27
17,20241113-elarbi-thehellpBOS-4B5A4438.CR2,big_blocks.yaml,1,24,50,12,50,12,5029.115,338.519,345.586,0.06,4531,3630,38701,1107,73,84948,4325,0.451,10.869,819,stage,0.64,0.78,0.225
18,20241113-elarbi-thehellpBOS-4B5A4452.CR2,big_blocks.yaml,1,24,50,12,50,12,4248.537,271.783,278.851,0.051,4871,3998,37720,944,77,74025,3932,0.658,12.67,793,shower cap,0.37,0.45,0.195
19,20250222-elarbi-redbullBOS-4B5A4586.CR2,big_blocks.yaml,1,24,50,12,50,12,13797.146,325.055,332.122,0.159,5359,3475,43564,3037,111,189623,3968,0.272,18.289,450,bobsled,0.3,0.04,0.858
20,Artistic_portrait.avif,big_blocks.yaml,1,24,50,12,50,12,142.49,104.04,111.107,0.03,138,354,3443,37,19,3522,372,0.986,44.85,107,jellyfish,0.42,0.4,0.033
21,Bright_red_portrait.avif,big_blocks.yaml,1,24,50,12,50,12,76.182,92.834,99.899,0.101,47,121,774,21,19,1223,81,0.965,41.21,684,ocarina,0.75,0.73,0.029
22,Brooklyn_bridge.webp,big_blocks.yaml,1,24,50,12,50,12,244.696,119.193,126.26,0.117,113,285,2111,60,26,4302,187,0.957,33.979,718,pier,0.88,0.88,0.001
23,Brush_ends.webp,big_blocks.yaml,1,24,50,12,50,12,65.586,66.52,73.585,0.092,48,110,672,19,17,1127,68,0.962,38.749,696,paintbrush,0.96,0.94,0.02
24,bunny.CR2,big_blocks.yaml,1,24,50,12,50,12,8931.854,284.215,291.282,0.104,4398,4175,40561,2037,91,126562,5526,0.203,12.096,330,wood rabbit,0.5,0.33,0.354
25,Colorful_patern_portrait.webp,big_blocks.yaml,1,24,50,12,50,12,295.377,213.674,220.741,0.085,163,235,2521,79,35,4908,253,0.98,41.124,836,sunglass,0.55,0.55,0.009
26,Colorful_portrait.webp,big_blocks.yaml,1,24,50,12,50,12,75.409,81.162,88.229,0.1,59,107,731,20,18,1294,72,0.945,38.993,552,feather boa,1.0,1.0,0.0
27,el_capitain_with_night_sky.webp,big_blocks.yaml,1,24,50,12,50,12,206.888,63.989,71.057,0.049,136,240,2413,51,13,4390,291,0.959,39.762,972,cliff,0.45,0.42,0.069
28,green_wheat_field.webp,big_blocks.yaml,1,24,50,12,50,12,113.15,84.104,91.17,0.109,55,129,1129,54,34,3676,117,0.953,36.231,984,rapeseed,1.0,1.0,0.0
29,landscape.png,big_blocks.yaml,1,24,50,12,50,12,947.241,154.95,162.018,0.08,255,506,6221,209,34,15592,576,0.921,33.151,984,rapeseed,0.25,0.24,0.022
30,man_holding_camera.webp,big_blocks.yaml,1,24,50,12,50,12,108.442,105.37,112.437,0.123,70,144,799,28,21,1647,77,0.971,38.632,763,revolver,0.06,0.06,0.092
31,Polar_bear_over_water.webp,big_blocks.yaml,1,24,50,12,50,12,67.639,63.063,70.129,0.144,35,64,519,21,24,1005,41,0.96,35.467,296,ice bear,0.17,0.14,0.17
32,Portrate_with_greenery_background.webp,big_blocks.yaml,1,24,50,12,50,12,969.309,156.554,163.621,0.032,572,1281,15381,214,32,19706,1503,0.98,40.704,610,jersey,0.31,0.32,0.02
33,Threads_up_close.webp,big_blocks.yaml,1,24,50,12,50,12,56.876,43.943,51.009,0.071,48,106,673,14,10,1135,67,0.96,37.234,490,chain mail,0.28,0.33,0.162
34,wheat_field.webp,big_blocks.yaml,1,24,50,12,50,12,100.115,71.305,78.37,0.125,52,99,667,26,17,1437,64,0.969,35.971,998,ear,0.27,0.24,0.114
35,20220422-20220424-elarbi-coachella-4B5A8619.CR2,moderate_blocks.yaml,1,16,50,8,50,8,1979.108,164.463,167.96,0.024,4809,6758,36701,442,34,45587,7345,0.831,15.185,981,ballplayer,0.16,0.02,0.859
36,20220422-20220424-elarbi-coachella-4B5A8887.CR2,moderate_blocks.yaml,1,16,50,8,50,8,3095.655,233.482,236.979,0.037,4445,7446,37223,755,53,57121,7485,0.559,13.317,541,drum,0.59,0.33,0.445
37,20220930-elarbi-ner-4B5A2550.CR2,moderate_blocks.yaml,1,16,50,8,50,8,6814.738,208.536,212.033,0.079,4460,7009,40219,1475,53,101139,7361,0.496,14.584,573,go-kart,0.82,0.55,0.33
38,20230501-elarbi-neugradphotos-4B5A7958.CR2,moderate_blocks.yaml,1,16,50,8,50,8,3734.701,251.192,254.689,0.045,5111,6351,37043,819,57,64717,7332,0.483,13.612,557,flagpole,0.88,0.97,0.102
39,20230501-elarbi-neugradphotos-4B5A7992.CR2,moderate_blocks.yaml,1,16,50,8,50,8,2647.981,192.9,196.397,0.032,5061,10331,40678,595,53,55540,7739,0.578,9.476,999,toilet tissue,0.13,0.0,0.995
40,20230501-elarbi-neugradphotos-4B5A8009.CR2,moderate_blocks.yaml,1,16,50,8,50,8,5893.326,213.497,216.994,0.069,4393,5967,39574,1288,50,89170,7423,0.268,14.084,683,oboe,0.18,0.23,0.252
41,20240420-elarbi-hauntedmoundCHI-4B5A1283.CR2,moderate_blocks.yaml,1,16,50,8,50,8,2482.224,93.968,97.465,0.029,4886,6952,37260,547,30,49010,8151,0.629,8.476,818,spotlight,0.15,0.21,0.414
42,20240420-elarbi-hauntedmoundCHI-4B5A2628.CR2,moderate_blocks.yaml,1,16,50,8,50,8,4558.862,223.037,226.534,0.054,5093,6091,39258,1033,59,76975,7288,0.436,10.352,841,sweatshirt,0.17,0.1,0.393
43,20240420-elarbi-hauntedmoundCHI-4B5A2629.CR2,moderate_blocks.yaml,1,16,50,8,50,8,3947.008,216.471,219.968,0.047,5304,6168,38736,875,51,65201,7455,0.307,8.685,489,chainlink fence,0.93,0.97,0.039
44,20241014-elarbi-yunggravyBOS-4B5A0014.CR2,moderate_blocks.yaml,1,16,50,8,50,8,2470.413,199.956,203.453,0.03,5120,6033,36531,537,39,51479,7428,0.628,12.137,643,mask,0.35,0.04,0.896
45,20241014-elarbi-yunggravyBOS-4B5A0116.CR2,moderate_blocks.yaml,1,16,50,8,50,8,4267.886,304.923,308.42,0.051,4545,6710,38471,961,72,72689,7729,0.616,13.864,796,ski mask,0.23,0.02,0.915
46,20241014-elarbi-yunggravyBOS-4B5A9992.CR2,moderate_blocks.yaml,1,16,50,8,50,8,6685.168,160.901,164.398,0.077,5012,7109,40040,1506,59,99980,7496,0.547,15.077,585,hair spray,0.27,0.06,0.786
47,20241017-elarbi-bladeeNYC-4B5A2464.CR2,moderate_blocks.yaml,1,16,50,8,50,8,2949.918,247.613,251.11,0.036,4919,6253,40521,653,50,58366,7465,0.705,14.406,819,stage,0.69,0.53,0.239
48,20241017-elarbi-bladeeNYC-4B5A2603.CR2,moderate_blocks.yaml,1,16,50,8,50,8,7119.293,212.332,215.829,0.082,4540,6907,41395,1759,73,107795,7959,0.55,16.148,650,microphone,0.22,0.39,0.81
49,20241111-elarbi-thehellpNYC-4B5A4361.CR2,moderate_blocks.yaml,1,16,50,8,50,8,8971.923,218.438,221.935,0.103,4711,6773,41395,2011,64,129226,7589,0.364,13.746,860,tobacco shop,0.33,0.04,0.886
50,20241113-elarbi-thehellpBOS-4B5A4416.CR2,moderate_blocks.yaml,1,16,50,8,50,8,5480.561,203.427,206.924,0.064,4651,6607,39980,1209,65,87267,7800,0.526,15.543,526,desk,0.66,0.55,0.165
51,20241113-elarbi-thehellpBOS-4B5A4417.CR2,moderate_blocks.yaml,1,16,50,8,50,8,2673.875,153.736,157.233,0.032,4536,5984,38139,640,34,53717,7956,0.711,12.461,784,screwdriver,0.37,0.27,0.253
52,20241113-elarbi-thehellpBOS-4B5A4438.CR2,moderate_blocks.yaml,1,16,50,8,50,8,4775.909,238.078,241.575,0.056,4708,6560,40506,1064,50,82080,8426,0.453,10.87,819,stage,0.64,0.78,0.228
53,20241113-elarbi-thehellpBOS-4B5A4452.CR2,moderate_blocks.yaml,1,16,50,8,50,8,4075.765,183.477,186.974,0.048,4943,7651,38641,946,54,70952,7431,0.66,12.671,793,shower cap,0.37,0.45,0.201
54,20250222-elarbi-redbullBOS-4B5A4586.CR2,moderate_blocks.yaml,1,16,50,8,50,8,13255.576,228.824,232.321,0.152,4605,6840,46051,3210,76,179545,7348,0.276,18.306,450,bobsled,0.3,0.04,0.857
55,Artistic_portrait.avif,moderate_blocks.yaml,1,16,50,8,50,8,131.669,83.443,86.94,0.026,147,599,3326,33,15,4739,688,0.991,46.009,107,jellyfish,0.42,0.39,0.058
56,Bright_red_portrait.avif,moderate_blocks.yaml,1,16,50,8,50,8,69.721,80.467,83.962,0.088,48,207,735,20,15,1167,141,0.97,41.526,684,ocarina,0.75,0.74,0.009
57,Brooklyn_bridge.webp,moderate_blocks.yaml,1,16,50,8,50,8,230.891,104.078,107.574,0.107,113,266,1510,58,22,3684,262,0.957,33.911,718,pier,0.88,0.88,0.001
58,Brush_ends.webp,moderate_blocks.yaml,1,16,50,8,50,8,64.348,51.878,55.373,0.079,75,418,1081,18,13,1132,123,0.962,38.71,696,paintbrush,0.96,0.91,0.048
59,bunny.CR2,moderate_blocks.yaml,1,16,50,8,50,8,8678.123,198.88,202.377,0.1,5115,6742,42572,1936,76,123683,8340,0.204,12.098,330,wood rabbit,0.5,0.33,0.346
60,Colorful_patern_portrait.webp,moderate_blocks.yaml,1,16,50,8,50,8,288.199,154.12,157.617,0.073,171,422,2705,68,20,4963,489,0.98,41.094,836,sunglass,0.55,0.55,0.011
61,Colorful_portrait.webp,moderate_blocks.yaml,1,16,50,8,50,8,74.543,60.894,64.39,0.085,108,196,893,20,14,1246,132,0.945,38.934,552,feather boa,1.0,1.0,0.001
62,el_capitain_with_night_sky.webp,moderate_blocks.yaml,1,16,50,8,50,8,186.003,46.656,50.153,0.042,140,406,2291,43,8,3533,453,0.961,39.958,972,cliff,0.45,0.42,0.067
63,green_wheat_field.webp,moderate_blocks.yaml,1,16,50,8,50,8,107.328,65.752,69.247,0.094,64,193,775,26,14,1680,205,0.952,35.966,984,rapeseed,1.0,1.0,0.0
64,landscape.png,moderate_blocks.yaml,1,16,50,8,50,8,921.211,109.111,112.608,0.074,304,947,6271,210,25,16256,1396,0.919,32.977,984,rapeseed,0.25,0.25,0.004
65,man_holding_camera.webp,moderate_blocks.yaml,1,16,50,8,50,8,105.459,92.257,95.753,0.112,69,197,1662,27,15,1589,150,0.971,38.661,763,revolver,0.06,0.06,0.015
66,Polar_bear_over_water.webp,moderate_blocks.yaml,1,16,50,8,50,8,64.524,54.381,57.876,0.128,43,117,643,19,9,993,82,0.959,35.32,296,ice bear,0.17,0.22,0.243
67,Portrate_with_greenery_background.webp,moderate_blocks.yaml,1,16,50,8,50,8,956.676,110.129,113.626,0.03,583,2330,15812,217,19,20260,3078,0.98,40.675,610,jersey,0.31,0.32,0.022
68,Threads_up_close.webp,moderate_blocks.yaml,1,16,50,8,50,8,51.597,37.089,40.584,0.061,46,176,620,16,6,988,130,0.965,37.394,490,chain mail,0.28,0.39,0.381
69,wheat_field.webp,moderate_blocks.yaml,1,16,50,8,50,8,95.528,63.252,66.747,0.114,62,236,708,26,12,1294,118,0.969,35.87,998,ear,0.27,0.28,0.027
70,20220422-20220424-elarbi-coachella-4B5A8619.CR2,small_blocks.yaml,1,4,50,2,50,2,2490.963,15.272,16.05,0.028,4543,86067,66760,596,13,94093,104476,0.831,15.275,981,ballplayer,0.16,0.02,0.853
71,20220422-20220424-elarbi-coachella-4B5A8887.CR2,small_blocks.yaml,1,4,50,2,50,2,3355.783,18.059,18.836,0.038,4377,81594,66493,789,15,111229,102925,0.573,13.378,541,drum,0.59,0.32,0.468
72,20220930-elarbi-ner-4B5A2550.CR2,small_blocks.yaml,1,4,50,2,50,2,4337.804,18.521,19.298,0.049,4436,83803,67151,1063,14,117436,113203,0.55,14.683,573,go-kart,0.82,0.59,0.284
73,20230501-elarbi-neugradphotos-4B5A7958.CR2,small_blocks.yaml,1,4,50,2,50,2,3502.074,17.188,17.966,0.04,6215,86678,73891,851,14,166912,223707,0.49,13.676,557,flagpole,0.88,0.97,0.103
74,20230501-elarbi-neugradphotos-4B5A7992.CR2,small_blocks.yaml,1,4,50,2,50,2,2797.405,12.965,13.742,0.032,5146,87463,69966,653,13,111216,120537,0.581,9.518,999,toilet tissue,0.13,0.0,0.995
75,20230501-elarbi-neugradphotos-4B5A8009.CR2,small_blocks.yaml,1,4,50,2,50,2,4975.955,15.273,16.051,0.056,7074,94349,87665,1286,20,142016,147853,0.279,14.161,683,oboe,0.18,0.22,0.213
76,20240420-elarbi-hauntedmoundCHI-4B5A1283.CR2,small_blocks.yaml,1,4,50,2,50,2,2309.054,8.158,8.936,0.026,5394,111100,83637,749,7,134595,152521,0.638,8.516,818,spotlight,0.15,0.22,0.519
77,20240420-elarbi-hauntedmoundCHI-4B5A2628.CR2,small_blocks.yaml,1,4,50,2,50,2,3626.538,14.249,15.026,0.041,7990,102174,77331,950,19,128814,121094,0.443,10.376,841,sweatshirt,0.17,0.1,0.406
78,20240420-elarbi-hauntedmoundCHI-4B5A2629.CR2,small_blocks.yaml,1,4,50,2,50,2,3701.456,16.16,16.938,0.042,10078,93100,78808,1176,21,118805,129579,0.316,8.725,489,chainlink fence,0.93,0.97,0.038
79,20241014-elarbi-yunggravyBOS-4B5A0014.CR2,small_blocks.yaml,1,4,50,2,50,2,2630.097,17.231,18.009,0.03,5133,98958,78232,679,14,118458,117048,0.637,12.227,643,mask,0.35,0.04,0.885
80,20241014-elarbi-yunggravyBOS-4B5A0116.CR2,small_blocks.yaml,1,4,50,2,50,2,3853.721,20.236,21.014,0.044,5257,96547,73906,931,16,144019,119944,0.635,13.918,796,ski mask,0.23,0.02,0.906
81,20241014-elarbi-yunggravyBOS-4B5A9992.CR2,small_blocks.yaml,1,4,50,2,50,2,4197.025,13.36,14.138,0.047,6512,105018,85639,1505,23,141091,118054,0.601,15.182,585,hair spray,0.27,0.06,0.759
82,20241017-elarbi-bladeeNYC-4B5A2464.CR2,small_blocks.yaml,1,4,50,2,50,2,2852.639,17.275,18.053,0.032,5957,112789,73816,741,16,109866,109431,0.713,14.476,819,stage,0.69,0.54,0.224
83,20241017-elarbi-bladeeNYC-4B5A2603.CR2,small_blocks.yaml,1,4,50,2,50,2,4634.751,15.468,16.245,0.052,5188,87053,72666,1133,21,129760,109297,0.603,16.228,650,microphone,0.22,0.4,0.858
84,20241111-elarbi-thehellpNYC-4B5A4361.CR2,small_blocks.yaml,1,4,50,2,50,2,5615.943,18.09,18.867,0.063,6071,83071,71093,1339,20,133552,107342,0.403,13.86,860,tobacco shop,0.33,0.04,0.868
