,Image Name,Compression Config,Chromiance Downsample Factor,Block Size,Luma Quantization Max,Luma Quantization Stdv,Chroma Quantization Max,Chroma Quantization Stdv,Encoded Image Data Size,Huffman Table Size (kB),Header Info Size (kB),Compression Ratio,Compression Preprocessing Time (mS),Image Compression Time (mS),Entropy Encoding Time (mS),File Encoding Time (mS),Decompression Preprocessing Time (mS),Decompression Entropy Decoding Time (mS),Decompression Block Processing time (mS),SSIM Score,PSNR,Uncompressed Reference Index,Uncompressed Reference Label,Reference Probability,Compressed Probability of Reference Label,Confidence Drift
0,20220422-20220424-elarbi-coachella-4B5A8619.CR2,high_downsampling.yaml,18,8,1,1,1,1,6750.63,135.055,136.286,0.077,4896,10870,20266,1604,52,99085,11132,0.819,15.128,981,ballplayer,0.16,0.02,0.854
1,20220422-20220424-elarbi-coachella-4B5A8887.CR2,high_downsampling.yaml,18,8,1,1,1,1,7796.741,153.676,154.907,0.089,4996,9418,22323,2119,55,118741,9609,0.548,13.291,541,drum,0.59,0.29,0.51
2,20220930-elarbi-ner-4B5A2550.CR2,high_downsampling.yaml,18,8,1,1,1,1,14982.885,138.458,139.689,0.17,5159,9705,29230,3844,77,182076,8957,0.514,14.585,573,go-kart,0.82,0.58,0.298
3,20230501-elarbi-neugradphotos-4B5A7958.CR2,high_downsampling.yaml,18,8,1,1,1,1,9736.522,167.643,168.874,0.111,6538,10711,21770,2278,64,140416,9333,0.474,13.577,557,flagpole,0.88,0.97,0.105
4,20230501-elarbi-neugradphotos-4B5A7992.CR2,high_downsampling.yaml,18,8,1,1,1,1,7376.774,146.597,147.828,0.085,6638,7494,20140,1952,55,106144,9260,0.572,9.455,999,toilet tissue,0.13,0.0,0.994
5,20230501-elarbi-neugradphotos-4B5A8009.CR2,high_downsampling.yaml,18,8,1,1,1,1,12303.498,139.388,140.619,0.14,5531,8036,26404,3567,71,177466,9866,0.259,14.132,683,oboe,0.18,0.23,0.232
6,20240420-elarbi-hauntedmoundCHI-4B5A1283.CR2,high_downsampling.yaml,18,8,1,1,1,1,8699.195,69.416,70.647,0.099,5772,9755,24191,2100,41,106368,9722,0.629,8.47,818,spotlight,0.15,0.2,0.347
7,20240420-elarbi-hauntedmoundCHI-4B5A2628.CR2,high_downsampling.yaml,18,8,1,1,1,1,12734.594,154.696,155.928,0.145,5435,8380,24798,2943,66,179493,11205,0.429,10.348,841,sweatshirt,0.17,0.08,0.531
8,20240420-elarbi-hauntedmoundCHI-4B5A2629.CR2,high_downsampling.yaml,18,8,1,1,1,1,11182.643,139.15,140.382,0.127,7354,10294,39935,5654,91,196552,9423,0.301,8.678,489,chainlink fence,0.93,0.95,0.019
9,20241014-elarbi-yunggravyBOS-4B5A0014.CR2,high_downsampling.yaml,18,8,1,1,1,1,7815.709,136.331,137.562,0.089,6618,8419,21286,2532,59,113655,10222,0.62,12.117,643,mask,0.35,0.04,0.873
