,Image Name,Compression Config,Chromiance Downsample Factor,Block Size,Norm N,Luma Quantization Max,Luma Quantization Min,Chroma Quantization Max,Chroma Quantization Min,Encoded Image Data Size,Huffman Table Size (kB),Header Info Size (kB),Compression Ratio,Compression Preprocessing Time (mS),Image Compression Time (mS),Entropy Encoding Time (mS),File Encoding Time (mS),Decompression Preprocessing Time (mS),Decompression Entropy Decoding Time (mS),Decompression Block Processing time (mS),SSIM Score,PSNR,Uncompressed Reference Index,Uncompressed Reference Label,Reference Probability,Compressed Probability of Reference Label,Confidence Drift
0,20220422-20220424-elarbi-coachella-4B5A8619.CR2,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,302.767,7.102,8.445,0.003,4422,12204,23143,79,13,19899,14108,0.821,15.432,981,ballplayer,0.16,0.02,0.898
1,20220422-20220424-elarbi-coachella-4B5A8887.CR2,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,435.016,8.673,10.017,0.005,4344,12068,19725,114,7,21592,12803,0.587,13.488,541,drum,0.59,0.2,0.669
2,20220930-elarbi-ner-4B5A2550.CR2,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,347.11,7.946,9.29,0.004,4409,12596,20731,83,5,20897,13125,0.692,14.934,573,go-kart,0.82,0.65,0.213
3,20230501-elarbi-neugradphotos-4B5A7958.CR2,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,448.737,9.522,10.866,0.005,4267,11527,20360,102,6,21642,13230,0.511,13.794,557,flagpole,0.88,0.95,0.077
4,20230501-elarbi-neugradphotos-4B5A7992.CR2,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,338.137,6.135,7.479,0.004,4743,12402,20253,85,3,20191,12833,0.59,9.591,999,toilet tissue,0.13,0.0,0.995
5,20230501-elarbi-neugradphotos-4B5A8009.CR2,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,671.91,7.56,8.903,0.008,4212,11141,19922,148,5,24392,13411,0.289,14.384,683,oboe,0.18,0.21,0.128
6,20240420-elarbi-hauntedmoundCHI-4B5A1283.CR2,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,197.522,2.682,4.025,0.002,5264,10515,19499,49,3,18096,12344,0.668,8.593,818,spotlight,0.15,0.2,0.378
7,20240420-elarbi-hauntedmoundCHI-4B5A2628.CR2,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,423.783,6.754,8.098,0.005,4509,12335,19833,99,7,21205,12737,0.471,10.432,841,sweatshirt,0.17,0.14,0.194
8,20240420-elarbi-hauntedmoundCHI-4B5A2629.CR2,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,553.592,7.076,8.42,0.006,4506,11846,19970,125,4,22888,13081,0.329,8.806,489,chainlink fence,0.93,0.97,0.04
9,20241014-elarbi-yunggravyBOS-4B5A0014.CR2,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,326.044,8.307,9.65,0.004,5017,10528,20394,78,5,19533,12534,0.653,12.369,643,mask,0.35,0.06,0.829
10,20241014-elarbi-yunggravyBOS-4B5A0116.CR2,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,555.118,12.333,13.677,0.006,4445,10820,20393,122,6,22430,13326,0.651,14.061,796,ski mask,0.23,0.05,0.796
11,20241014-elarbi-yunggravyBOS-4B5A9992.CR2,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,297.52,6.555,7.898,0.003,5333,10542,19338,69,6,19139,12687,0.733,15.444,585,hair spray,0.27,0.04,0.831
12,20241017-elarbi-bladeeNYC-4B5A2464.CR2,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,318.507,7.953,9.297,0.004,4296,12057,20106,73,5,18675,12540,0.733,14.538,819,stage,0.69,0.46,0.33
13,20241017-elarbi-bladeeNYC-4B5A2603.CR2,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,377.192,6.925,8.269,0.004,4289,11618,19651,85,5,20330,12379,0.72,16.453,650,microphone,0.22,0.38,0.755
14,20241111-elarbi-thehellpNYC-4B5A4361.CR2,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,402.048,8.701,10.045,0.005,4391,11557,19728,93,4,20754,12287,0.549,14.154,860,tobacco shop,0.33,0.04,0.886
15,20241113-elarbi-thehellpBOS-4B5A4416.CR2,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,527.493,8.409,9.753,0.006,4191,10727,20289,117,6,21953,13329,0.558,16.026,526,desk,0.66,0.66,0.007
16,20241113-elarbi-thehellpBOS-4B5A4417.CR2,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,280.983,6.071,7.415,0.003,4617,10647,19717,81,5,18870,12090,0.75,12.653,784,screwdriver,0.37,0.34,0.083
17,20241113-elarbi-thehellpBOS-4B5A4438.CR2,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,466.04,9.694,11.038,0.005,4812,10470,19304,112,6,21198,12786,0.487,11.001,819,stage,0.64,0.77,0.204
18,20241113-elarbi-thehellpBOS-4B5A4452.CR2,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,403.884,6.75,8.094,0.005,4403,10926,19325,92,4,19803,12838,0.701,12.822,793,shower cap,0.37,0.35,0.068
19,20250222-elarbi-redbullBOS-4B5A4586.CR2,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,442.411,9.062,10.405,0.005,4317,11398,20926,101,7,19846,12965,0.601,19.119,450,bobsled,0.3,0.07,0.778
20,Artistic_portrait.avif,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,34.204,5.105,6.449,0.005,131,987,2385,9,2,1975,1159,0.855,34.466,107,jellyfish,0.42,0.48,0.158
21,Bright_red_portrait.avif,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,11.208,6.509,7.851,0.011,40,265,384,6,2,417,397,0.805,29.699,684,ocarina,0.75,0.49,0.342
22,Brooklyn_bridge.webp,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,45.454,9.284,10.627,0.018,131,618,723,12,3,1173,442,0.802,26.063,718,pier,0.88,0.81,0.075
23,Brush_ends.webp,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,9.91,3.78,5.122,0.01,43,267,332,4,2,373,204,0.81,30.053,696,paintbrush,0.96,0.8,0.161
24,bunny.CR2,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,1044.04,9.0,10.344,0.012,4354,10639,20688,235,7,27141,12407,0.217,12.069,330,wood rabbit,0.5,0.29,0.425
25,Colorful_patern_portrait.webp,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,45.068,7.457,8.801,0.009,155,708,2156,13,2,1530,1041,0.804,27.923,836,sunglass,0.55,0.56,0.024
26,Colorful_portrait.webp,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,8.256,2.79,4.133,0.008,54,273,364,3,2,338,228,0.738,29.855,552,feather boa,1.0,0.02,0.983
27,el_capitain_with_night_sky.webp,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,22.559,2.554,3.897,0.005,125,663,1200,6,1,1130,781,0.83,31.884,972,cliff,0.45,0.34,0.229
28,green_wheat_field.webp,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,14.111,6.559,7.9,0.012,60,275,407,4,2,480,277,0.761,27.94,984,rapeseed,1.0,1.0,0.002
29,landscape.png,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,103.195,8.489,9.833,0.008,230,2427,3104,24,3,4329,2129,0.737,26.41,984,rapeseed,0.25,0.21,0.13
30,man_holding_camera.webp,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,17.67,6.114,7.457,0.014,58,253,823,41,12,933,255,0.805,28.086,763,revolver,0.06,0.04,0.374
31,Polar_bear_over_water.webp,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,9.885,4.524,5.866,0.016,36,188,219,4,1,288,136,0.698,26.821,296,ice bear,0.17,0.04,0.781
32,Portrate_with_greenery_background.webp,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,192.674,7.563,8.907,0.006,547,4011,8741,45,4,8898,6091,0.875,31.424,610,jersey,0.31,0.36,0.172
33,Threads_up_close.webp,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,9.381,4.195,5.537,0.01,33,233,345,3,2,375,213,0.838,30.899,490,chain mail,0.28,0.1,0.636
34,wheat_field.webp,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,13.521,3.917,5.259,0.013,47,240,319,3,2,404,201,0.803,26.889,998,ear,0.27,0.02,0.938
35,20220422-20220424-elarbi-coachella-4B5A8619.CR2,L1-5_quantization_high_quality.yaml,2,8,1.5,15,5,20,10,818.9,35.532,36.83,0.01,5042,10361,20216,180,12,24967,12643,0.836,15.212,981,ballplayer,0.16,0.02,0.848
36,20220422-20220424-elarbi-coachella-4B5A8887.CR2,L1-5_quantization_high_quality.yaml,2,8,1.5,15,5,20,10,1482.99,44.217,45.515,0.017,4141,11423,21124,314,14,35084,14443,0.57,13.331,541,drum,0.59,0.31,0.483
37,20220930-elarbi-ner-4B5A2550.CR2,L1-5_quantization_high_quality.yaml,2,8,1.5,15,5,20,10,2350.424,44.393,45.69,0.027,4196,10503,21450,492,18,40885,12493,0.588,14.645,573,go-kart,0.82,0.54,0.347
38,20230501-elarbi-neugradphotos-4B5A7958.CR2,L1-5_quantization_high_quality.yaml,2,8,1.5,15,5,20,10,1950.745,48.793,50.091,0.022,4594,10595,22160,493,19,41607,12305,0.489,13.616,557,flagpole,0.88,0.97,0.109
39,20230501-elarbi-neugradphotos-4B5A7992.CR2,L1-5_quantization_high_quality.yaml,2,8,1.5,15,5,20,10,1196.771,38.456,39.754,0.014,4585,10726,20893,258,12,31019,12356,0.583,9.483,999,toilet tissue,0.13,0.0,0.994
40,20230501-elarbi-neugradphotos-4B5A8009.CR2,L1-5_quantization_high_quality.yaml,2,8,1.5,15,5,20,10,3130.807,39.735,41.033,0.036,4114,10356,22216,659,23,49010,13141,0.274,14.13,683,oboe,0.18,0.22,0.213
41,20240420-elarbi-hauntedmoundCHI-4B5A1283.CR2,L1-5_quantization_high_quality.yaml,2,8,1.5,15,5,20,10,350.041,18.751,20.049,0.004,4827,10928,19840,150,7,19901,12982,0.654,8.491,818,spotlight,0.15,0.25,0.672
42,20240420-elarbi-hauntedmoundCHI-4B5A2628.CR2,L1-5_quantization_high_quality.yaml,2,8,1.5,15,5,20,10,1968.05,37.653,38.951,0.023,4402,11372,21973,416,18,36343,13336,0.453,10.376,841,sweatshirt,0.17,0.09,0.443
