,Image Name,Compression Config,Chromiance Downsample Factor,Block Size,Luma Quantization Max,Norm N,Luma Quantization Stdv,Chroma Quantization Max,Chroma Quantization Stdv,Encoded Image Data Size,Huffman Table Size (kB),Header Info Size (kB),Compression Ratio,Compression Preprocessing Time (mS),Image Compression Time (mS),Entropy Encoding Time (mS),File Encoding Time (mS),Decompression Preprocessing Time (mS),Decompression Entropy Decoding Time (mS),Decompression Block Processing time (mS),SSIM Score,PSNR,Uncompressed Reference Index,Uncompressed Reference Label,Reference Probability,Compressed Probability of Reference Label,Confidence Drift
0,20220422-20220424-elarbi-coachella-4B5A8619.CR2,gauss_quantization_agressive.yaml,2,8,100,gauss,8,125,8,255.891,4.838,6.228,0.003,4293,11682,19268,60,3,18373,12676,0.812,15.475,981,ballplayer,0.16,0.01,0.941
1,20220422-20220424-elarbi-coachella-4B5A8887.CR2,gauss_quantization_agressive.yaml,2,8,100,gauss,8,125,8,347.186,5.635,7.024,0.004,4075,10532,19911,77,4,19852,12517,0.587,13.519,541,drum,0.59,0.12,0.805
2,20220930-elarbi-ner-4B5A2550.CR2,gauss_quantization_agressive.yaml,2,8,100,gauss,8,125,8,284.69,5.644,7.033,0.003,4292,11006,19862,73,5,18478,12848,0.701,15.025,573,go-kart,0.82,0.77,0.065
3,20230501-elarbi-neugradphotos-4B5A7958.CR2,gauss_quantization_agressive.yaml,2,8,100,gauss,8,125,8,342.678,6.137,7.526,0.004,4954,9982,19548,78,4,19108,12341,0.518,13.833,557,flagpole,0.88,0.99,0.125
4,20230501-elarbi-neugradphotos-4B5A7992.CR2,gauss_quantization_agressive.yaml,2,8,100,gauss,8,125,8,277.046,4.027,5.417,0.003,4554,10709,20181,67,3,18410,13371,0.591,9.622,999,toilet tissue,0.13,0,0.996
5,20230501-elarbi-neugradphotos-4B5A8009.CR2,gauss_quantization_agressive.yaml,2,8,100,gauss,8,125,8,482.272,5.022,6.412,0.005,4144,11306,19297,112,5,20574,12634,0.287,14.471,683,oboe,0.18,0.1,0.446
6,20240420-elarbi-hauntedmoundCHI-4B5A1283.CR2,gauss_quantization_agressive.yaml,2,8,100,gauss,8,125,8,189.818,1.733,3.123,0.002,4441,10794,19920,45,11,16126,13317,0.665,8.628,818,spotlight,0.15,0.21,0.419
7,20240420-elarbi-hauntedmoundCHI-4B5A2628.CR2,gauss_quantization_agressive.yaml,2,8,100,gauss,8,125,8,327.449,4.409,5.799,0.004,4980,10278,19808,78,4,19110,12540,0.47,10.475,841,sweatshirt,0.17,0.23,0.338
8,20240420-elarbi-hauntedmoundCHI-4B5A2629.CR2,gauss_quantization_agressive.yaml,2,8,100,gauss,8,125,8,435.797,5.029,6.419,0.005,4410,10435,19949,97,4,21040,12619,0.329,8.868,489,chainlink fence,0.93,0.98,0.048
9,20241014-elarbi-yunggravyBOS-4B5A0014.CR2,gauss_quantization_agressive.yaml,2,8,100,gauss,8,125,8,273.222,5.564,6.954,0.003,4188,10642,19900,60,5,17665,12722,0.655,12.46,643,mask,0.35,0.06,0.835
