,Image Name,Compression Name,Quality Factor,Compression Rate (uncompressed image size / compressed file size),Uncompressed Reference Index,Uncompressed Reference Label,Reference Probability,Compressed Probability of Reference Label,Confidence Drift
0,landscape_el_capitain_with_night_sky.webp,baseline_jpeg_q1.yaml,1,0.309,972,cliff,0.45,0.01,0.973
1,landscape_hill.png,baseline_jpeg_q1.yaml,1,0.01,984,rapeseed,0.25,0.02,0.917
2,landscape_iceberg.webp,baseline_jpeg_q1.yaml,1,0.171,296,ice bear,0.17,0.0,0.998
3,landscape_kitchen.jpg,baseline_jpeg_q1.yaml,1,0.205,905,window shade,0.34,0.0,1.0
4,subject_Brooklyn_bridge.webp,baseline_jpeg_q1.yaml,1,0.14,718,pier,0.88,0.08,0.913
5,subject_bunny.tif,baseline_jpeg_q1.yaml,1,0.007,330,wood rabbit,0.51,0.52,0.026
6,subject_cat.webp,baseline_jpeg_q1.yaml,1,0.195,281,tabby,0.75,0.13,0.831
7,subject_flowers.webp,baseline_jpeg_q1.yaml,1,0.181,883,vase,0.45,0.0,0.992
8,subject_jellyfish.png,baseline_jpeg_q1.yaml,1,0.024,107,jellyfish,1.0,1.0,0.004
9,subject_partial_dog.webp,baseline_jpeg_q1.yaml,1,0.434,253,basenji,0.17,0.0,0.981
10,subject_puppy.png,baseline_jpeg_q1.yaml,1,0.016,207,golden retriever,0.94,0.17,0.819
11,subject_radio.webp,baseline_jpeg_q1.yaml,1,0.026,754,radio,0.97,0.75,0.228
12,landscape_el_capitain_with_night_sky.webp,baseline_jpeg_q10.yaml,10,0.413,972,cliff,0.45,0.46,0.035
13,landscape_hill.png,baseline_jpeg_q10.yaml,10,0.018,984,rapeseed,0.25,0.15,0.375
14,landscape_iceberg.webp,baseline_jpeg_q10.yaml,10,0.343,296,ice bear,0.17,0.01,0.956
15,landscape_kitchen.jpg,baseline_jpeg_q10.yaml,10,0.356,905,window shade,0.34,0.1,0.717
16,subject_Brooklyn_bridge.webp,baseline_jpeg_q10.yaml,10,0.271,718,pier,0.88,0.6,0.313
17,subject_bunny.tif,baseline_jpeg_q10.yaml,10,0.016,330,wood rabbit,0.51,0.59,0.164
18,subject_cat.webp,baseline_jpeg_q10.yaml,10,0.317,281,tabby,0.75,0.65,0.124
19,subject_flowers.webp,baseline_jpeg_q10.yaml,10,0.273,883,vase,0.45,0.45,0.01
20,subject_jellyfish.png,baseline_jpeg_q10.yaml,10,0.028,107,jellyfish,1.0,1.0,0.0
21,subject_partial_dog.webp,baseline_jpeg_q10.yaml,10,0.602,253,basenji,0.17,0.03,0.81
22,subject_puppy.png,baseline_jpeg_q10.yaml,10,0.024,207,golden retriever,0.94,0.95,0.011
23,subject_radio.webp,baseline_jpeg_q10.yaml,10,0.05,754,radio,0.97,0.93,0.045
24,landscape_el_capitain_with_night_sky.webp,baseline_jpeg_q100.yaml,100,8.072,972,cliff,0.45,0.45,0.003
25,landscape_hill.png,baseline_jpeg_q100.yaml,100,0.485,984,rapeseed,0.25,0.22,0.107
26,landscape_iceberg.webp,baseline_jpeg_q100.yaml,100,6.145,296,ice bear,0.17,0.2,0.137
27,landscape_kitchen.jpg,baseline_jpeg_q100.yaml,100,3.46,905,window shade,0.34,0.37,0.077
28,subject_Brooklyn_bridge.webp,baseline_jpeg_q100.yaml,100,4.295,718,pier,0.88,0.88,0.001
29,subject_bunny.tif,baseline_jpeg_q100.yaml,100,0.291,330,wood rabbit,0.51,0.52,0.023
30,subject_cat.webp,baseline_jpeg_q100.yaml,100,5.113,281,tabby,0.75,0.75,0.002
31,subject_flowers.webp,baseline_jpeg_q100.yaml,100,3.623,883,vase,0.45,0.45,0.001
32,subject_jellyfish.png,baseline_jpeg_q100.yaml,100,0.488,107,jellyfish,1.0,1.0,0.0
33,subject_partial_dog.webp,baseline_jpeg_q100.yaml,100,11.004,253,basenji,0.17,0.16,0.085
34,subject_puppy.png,baseline_jpeg_q100.yaml,100,0.428,207,golden retriever,0.94,0.94,0.001
35,subject_radio.webp,baseline_jpeg_q100.yaml,100,0.694,754,radio,0.97,0.97,0.0
36,landscape_el_capitain_with_night_sky.webp,baseline_jpeg_q2.yaml,2,0.309,972,cliff,0.45,0.01,0.973
37,landscape_hill.png,baseline_jpeg_q2.yaml,2,0.01,984,rapeseed,0.25,0.02,0.918
38,landscape_iceberg.webp,baseline_jpeg_q2.yaml,2,0.171,296,ice bear,0.17,0.0,0.998
39,landscape_kitchen.jpg,baseline_jpeg_q2.yaml,2,0.206,905,window shade,0.34,0.0,1.0
40,subject_Brooklyn_bridge.webp,baseline_jpeg_q2.yaml,2,0.14,718,pier,0.88,0.07,0.918
41,subject_bunny.tif,baseline_jpeg_q2.yaml,2,0.007,330,wood rabbit,0.51,0.52,0.036
42,subject_cat.webp,baseline_jpeg_q2.yaml,2,0.195,281,tabby,0.75,0.12,0.838
43,subject_flowers.webp,baseline_jpeg_q2.yaml,2,0.181,883,vase,0.45,0.0,0.992
44,subject_jellyfish.png,baseline_jpeg_q2.yaml,2,0.024,107,jellyfish,1.0,1.0,0.003
45,subject_partial_dog.webp,baseline_jpeg_q2.yaml,2,0.434,253,basenji,0.17,0.0,0.981
46,subject_puppy.png,baseline_jpeg_q2.yaml,2,0.016,207,golden retriever,0.94,0.16,0.826
47,subject_radio.webp,baseline_jpeg_q2.yaml,2,0.026,754,radio,0.97,0.75,0.224
48,landscape_el_capitain_with_night_sky.webp,baseline_jpeg_q20.yaml,20,0.59,972,cliff,0.45,0.45,0.001
49,landscape_hill.png,baseline_jpeg_q20.yaml,20,0.027,984,rapeseed,0.25,0.09,0.626
50,landscape_iceberg.webp,baseline_jpeg_q20.yaml,20,0.533,296,ice bear,0.17,0.02,0.903
51,landscape_kitchen.jpg,baseline_jpeg_q20.yaml,20,0.516,905,window shade,0.34,0.32,0.06
52,subject_Brooklyn_bridge.webp,baseline_jpeg_q20.yaml,20,0.42,718,pier,0.88,0.83,0.053
53,subject_bunny.tif,baseline_jpeg_q20.yaml,20,0.025,330,wood rabbit,0.51,0.5,0.01
54,subject_cat.webp,baseline_jpeg_q20.yaml,20,0.456,281,tabby,0.75,0.82,0.098
55,subject_flowers.webp,baseline_jpeg_q20.yaml,20,0.378,883,vase,0.45,0.53,0.176
56,subject_jellyfish.png,baseline_jpeg_q20.yaml,20,0.034,107,jellyfish,1.0,1.0,0.0
57,subject_partial_dog.webp,baseline_jpeg_q20.yaml,20,0.815,253,basenji,0.17,0.15,0.163
58,subject_puppy.png,baseline_jpeg_q20.yaml,20,0.035,207,golden retriever,0.94,0.98,0.038
59,subject_radio.webp,baseline_jpeg_q20.yaml,20,0.073,754,radio,0.97,0.96,0.011
