,Image Name,Compression Config,Chromiance Downsample Factor,Block Size,Norm N,Luma Quantization Max,Luma Quantization Min,Chroma Quantization Max,Chroma Quantization Min,Encoded Image Data Size,Huffman Table Size (kB),Header Info Size (kB),Compression Ratio,Compression Preprocessing Time (mS),Image Compression Time (mS),Entropy Encoding Time (mS),File Encoding Time (mS),Decompression Preprocessing Time (mS),Decompression Entropy Decoding Time (mS),Decompression Block Processing time (mS),Uncompressed Reference Index,Uncompressed Reference Label,Reference Probability,Compressed Probability of Reference Label,Confidence Drift
0,landscape_crowd.tif,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,115.022,8.188,9.531,0.006,37,2164,4662,25,2,4303,2741,981,ballplayer,0.16,0.08,0.521
1,landscape_el_capitain_with_night_sky.webp,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,22.559,2.554,3.897,0.005,112,595,1115,6,1,1069,725,972,cliff,0.45,0.34,0.229
2,landscape_hill.png,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,103.195,8.489,9.833,0.008,172,1438,2849,22,2,3270,1739,984,rapeseed,0.25,0.21,0.13
3,landscape_iceberg.webp,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,9.885,4.524,5.866,0.016,21,109,208,3,1,259,121,296,ice bear,0.17,0.04,0.781
4,subject_Brooklyn_bridge.webp,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,45.454,9.284,10.627,0.018,101,327,658,12,3,980,401,718,pier,0.88,0.81,0.075
5,subject_bunny.tif,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,299.147,8.104,9.447,0.014,28,2291,4620,60,4,6064,2785,330,wood rabbit,0.51,0.47,0.075
6,subject_cat.webp,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,9.609,5.394,6.735,0.015,20,130,234,2,2,278,143,281,tabby,0.75,0.69,0.071
7,subject_flowers.webp,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,23.572,5.998,7.341,0.009,55,391,736,6,1,795,450,883,vase,0.45,0.51,0.144
8,subject_greenroom.tif,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,210.748,9.787,11.131,0.01,21,2304,5030,54,4,5815,2767,526,desk,0.67,0.77,0.143
9,subject_jellyfish.png,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,15.958,6.262,7.605,0.006,87,459,855,5,2,781,547,107,jellyfish,1.0,1.0,0.0
10,subject_partial_dog.webp,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,6.351,3.274,4.616,0.01,23,166,227,2,2,222,140,253,basenji,0.17,0.05,0.71
11,subject_puppy.png,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,30.967,8.254,9.598,0.008,101,559,1050,8,1,1084,633,207,golden retriever,0.94,0.97,0.025
12,subject_racecar.tif,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,123.846,9.086,10.43,0.006,21,2261,4429,27,3,4636,2857,573,go-kart,0.83,0.81,0.022
13,subject_radio.webp,L1-5_quantization_agressive.yaml,2,8,1.5,100,30,125,40,100.582,11.902,13.246,0.028,95,443,894,24,4,1598,516,754,radio,0.97,0.88,0.095
14,landscape_crowd.tif,L1-5_quantization_high_quality.yaml,2,8,1.5,15,5,20,10,353.463,36.633,37.931,0.018,22,2250,4634,73,8,7419,2838,981,ballplayer,0.16,0.13,0.197
15,landscape_el_capitain_with_night_sky.webp,L1-5_quantization_high_quality.yaml,2,8,1.5,15,5,20,10,123.669,12.862,14.16,0.025,100,625,1284,29,4,2127,769,972,cliff,0.45,0.35,0.21
16,landscape_hill.png,L1-5_quantization_high_quality.yaml,2,8,1.5,15,5,20,10,684.256,29.98,31.278,0.051,232,1419,3282,136,9,8978,1834,984,rapeseed,0.25,0.25,0.026
17,landscape_iceberg.webp,L1-5_quantization_high_quality.yaml,2,8,1.5,15,5,20,10,53.515,16.83,18.126,0.075,26,168,256,13,4,675,127,296,ice bear,0.17,0.15,0.144
18,subject_Brooklyn_bridge.webp,L1-5_quantization_high_quality.yaml,2,8,1.5,15,5,20,10,204.209,37.237,38.534,0.077,94,362,775,43,8,2608,407,718,pier,0.88,0.88,0.001
19,subject_bunny.tif,L1-5_quantization_high_quality.yaml,2,8,1.5,15,5,20,10,1389.031,29.491,30.789,0.064,19,2346,5388,279,10,17250,2942,330,wood rabbit,0.51,0.52,0.031
20,subject_cat.webp,L1-5_quantization_high_quality.yaml,2,8,1.5,15,5,20,10,45.668,18.381,19.677,0.059,33,171,263,12,4,634,147,281,tabby,0.75,0.77,0.032
21,subject_flowers.webp,L1-5_quantization_high_quality.yaml,2,8,1.5,15,5,20,10,108.28,26.627,27.924,0.038,77,439,839,26,6,1712,477,883,vase,0.45,0.45,0.002
22,subject_greenroom.tif,L1-5_quantization_high_quality.yaml,2,8,1.5,15,5,20,10,1096.31,40.352,41.649,0.052,20,2399,5208,219,10,14314,2925,526,desk,0.67,0.69,0.023
23,subject_jellyfish.png,L1-5_quantization_high_quality.yaml,2,8,1.5,15,5,20,10,54.242,25.271,26.569,0.019,70,490,952,13,5,1301,572,107,jellyfish,1.0,1.0,0.0
24,subject_partial_dog.webp,L1-5_quantization_high_quality.yaml,2,8,1.5,15,5,20,10,23.669,12.976,14.271,0.035,29,163,248,7,3,417,146,253,basenji,0.17,0.2,0.164
25,subject_puppy.png,L1-5_quantization_high_quality.yaml,2,8,1.5,15,5,20,10,176.531,31.668,32.966,0.041,79,568,1175,37,7,2618,677,207,golden retriever,0.94,0.95,0.011
26,subject_racecar.tif,L1-5_quantization_high_quality.yaml,2,8,1.5,15,5,20,10,431.067,42.177,43.475,0.022,21,2396,4861,90,9,8608,2941,573,go-kart,0.83,0.74,0.109
27,subject_radio.webp,L1-5_quantization_high_quality.yaml,2,8,1.5,15,5,20,10,367.945,42.917,44.215,0.101,121,467,1088,79,11,3996,539,754,radio,0.97,0.96,0.01
28,landscape_crowd.tif,L1-5_quantization_moderate.yaml,2,8,1.5,50,20,60,30,153.515,12.761,14.091,0.008,19,2323,5168,34,3,5072,2945,981,ballplayer,0.16,0.1,0.409
29,landscape_el_capitain_with_night_sky.webp,L1-5_quantization_moderate.yaml,2,8,1.5,50,20,60,30,35.818,4.205,5.535,0.007,100,615,1167,9,2,1276,731,972,cliff,0.45,0.31,0.314
30,landscape_hill.png,L1-5_quantization_moderate.yaml,2,8,1.5,50,20,60,30,216.165,13.225,14.555,0.017,222,1433,3025,46,4,4557,1838,984,rapeseed,0.25,0.24,0.023
31,landscape_iceberg.webp,L1-5_quantization_moderate.yaml,2,8,1.5,50,20,60,30,16.973,6.78,8.108,0.026,27,150,226,5,2,333,135,296,ice bear,0.17,0.08,0.566
32,subject_Brooklyn_bridge.webp,L1-5_quantization_moderate.yaml,2,8,1.5,50,20,60,30,75.976,13.512,14.841,0.029,87,382,738,17,4,1236,416,718,pier,0.88,0.86,0.02
33,subject_bunny.tif,L1-5_quantization_moderate.yaml,2,8,1.5,50,20,60,30,501.607,11.493,12.823,0.023,22,2477,5012,138,5,7746,2951,330,wood rabbit,0.51,0.45,0.114
34,subject_cat.webp,L1-5_quantization_moderate.yaml,2,8,1.5,50,20,60,30,16.124,8.062,9.391,0.023,30,177,245,6,2,346,151,281,tabby,0.75,0.66,0.117
