,Image Name,Compression Config,Chromiance Downsample Factor,Block Size,Luma Quantization Max,Luma Quantization Stdv,Chroma Quantization Max,Chroma Quantization Stdv,Encoded Image Data Size,Huffman Table Size (kB),Header Info Size (kB),Compression Ratio,Compression Preprocessing Time (mS),Image Compression Time (mS),Entropy Encoding Time (mS),File Encoding Time (mS),Decompression Preprocessing Time (mS),Decompression Entropy Decoding Time (mS),Decompression Block Processing time (mS),Uncompressed Reference Index,Uncompressed Reference Label,Reference Probability,Compressed Probability of Reference Label,Confidence Drift
0,landscape_crowd.tif,gauss_quantization_agressive.yaml,2,8,100,8,125,8,91.312,5.863,7.253,0.004,26,2615,5584,21,2,4511,2964,981,ballplayer,0.16,0.07,0.595
1,landscape_el_capitain_with_night_sky.webp,gauss_quantization_agressive.yaml,2,8,100,8,125,8,17.164,1.678,3.067,0.004,119,643,1174,6,1,1026,758,972,cliff,0.45,0.14,0.69
2,landscape_hill.png,gauss_quantization_agressive.yaml,2,8,100,8,125,8,68.85,5.944,7.334,0.005,227,1957,2969,16,2,2963,1846,984,rapeseed,0.25,0.08,0.674
3,landscape_iceberg.webp,gauss_quantization_agressive.yaml,2,8,100,8,125,8,6.726,3.081,4.469,0.012,29,153,225,3,1,229,131,296,ice bear,0.17,0.0,0.981
4,subject_Brooklyn_bridge.webp,gauss_quantization_agressive.yaml,2,8,100,8,125,8,33.434,6.74,8.129,0.013,86,380,747,8,2,871,425,718,pier,0.88,0.78,0.115
5,subject_bunny.tif,gauss_quantization_agressive.yaml,2,8,100,8,125,8,209.801,5.974,7.363,0.01,20,3250,5077,45,3,5916,3425,330,wood rabbit,0.51,0.57,0.121
6,subject_cat.webp,gauss_quantization_agressive.yaml,2,8,100,8,125,8,6.98,3.938,5.326,0.011,31,169,238,2,1,258,149,281,tabby,0.75,0.59,0.208
7,subject_flowers.webp,gauss_quantization_agressive.yaml,2,8,100,8,125,8,18.134,4.178,5.566,0.007,82,423,770,5,2,760,490,883,vase,0.45,0.4,0.097
8,subject_greenroom.tif,gauss_quantization_agressive.yaml,2,8,100,8,125,8,139.564,7.119,8.509,0.007,27,2435,4742,33,2,6228,3010,526,desk,0.67,0.83,0.239
9,subject_jellyfish.png,gauss_quantization_agressive.yaml,2,8,100,8,125,8,13.337,4.412,5.802,0.004,73,499,893,4,1,786,568,107,jellyfish,1.0,1.0,0.0
10,subject_partial_dog.webp,gauss_quantization_agressive.yaml,2,8,100,8,125,8,4.878,2.017,3.404,0.008,26,168,235,2,1,214,143,253,basenji,0.17,0.03,0.835
11,subject_puppy.png,gauss_quantization_agressive.yaml,2,8,100,8,125,8,22.929,6.307,7.696,0.006,79,627,1080,6,2,1040,1156,207,golden retriever,0.94,0.97,0.024
12,subject_racecar.tif,gauss_quantization_agressive.yaml,2,8,100,8,125,8,99.134,6.414,7.804,0.005,22,2464,4679,23,2,4520,3695,573,go-kart,0.83,0.67,0.187
13,subject_radio.webp,gauss_quantization_agressive.yaml,2,8,100,8,125,8,75.974,9.6,10.989,0.021,114,470,935,17,3,1540,557,754,radio,0.97,0.9,0.071
14,landscape_crowd.tif,gauss_quantization_high_quality.yaml,2,8,10,3,20,3,1505.875,134.519,135.767,0.074,21,2430,5709,349,36,21723,2930,981,ballplayer,0.16,0.14,0.125
15,landscape_el_capitain_with_night_sky.webp,gauss_quantization_high_quality.yaml,2,8,10,3,20,3,458.04,52.372,53.62,0.091,105,625,1467,96,11,5970,758,972,cliff,0.45,0.45,0.017
16,landscape_hill.png,gauss_quantization_high_quality.yaml,2,8,10,3,20,3,2125.111,104.156,105.404,0.16,226,1491,4144,474,30,23872,1853,984,rapeseed,0.25,0.21,0.135
17,landscape_iceberg.webp,gauss_quantization_high_quality.yaml,2,8,10,3,20,3,145.342,61.747,62.993,0.218,29,160,319,33,11,1570,134,296,ice bear,0.17,0.18,0.035
18,subject_Brooklyn_bridge.webp,gauss_quantization_high_quality.yaml,2,8,10,3,20,3,489.335,121.181,122.428,0.193,86,413,984,105,22,6044,438,718,pier,0.88,0.88,0.001
19,subject_bunny.tif,gauss_quantization_high_quality.yaml,2,8,10,3,20,3,3965.868,107.765,109.013,0.185,21,2401,6809,820,33,42795,2959,330,wood rabbit,0.51,0.53,0.056
20,subject_cat.webp,gauss_quantization_high_quality.yaml,2,8,10,3,20,3,121.746,60.688,61.935,0.167,31,190,320,28,11,1390,150,281,tabby,0.75,0.74,0.006
21,subject_flowers.webp,gauss_quantization_high_quality.yaml,2,8,10,3,20,3,290.09,102.096,103.343,0.11,81,429,921,63,18,3692,486,883,vase,0.45,0.45,0.016
22,subject_greenroom.tif,gauss_quantization_high_quality.yaml,2,8,10,3,20,3,3055.511,151.261,152.509,0.145,25,2379,7083,620,33,33868,2943,526,desk,0.67,0.66,0.011
23,subject_jellyfish.png,gauss_quantization_high_quality.yaml,2,8,10,3,20,3,247.798,77.375,78.623,0.076,72,503,1061,54,13,4316,565,107,jellyfish,1.0,1.0,0.0
24,subject_partial_dog.webp,gauss_quantization_high_quality.yaml,2,8,10,3,20,3,93.587,51.371,52.617,0.136,29,196,305,23,9,1082,146,253,basenji,0.17,0.19,0.102
25,subject_puppy.png,gauss_quantization_high_quality.yaml,2,8,10,3,20,3,507.619,117.518,118.766,0.124,80,609,1381,111,23,5703,702,207,golden retriever,0.94,0.94,0.001
26,subject_racecar.tif,gauss_quantization_high_quality.yaml,2,8,10,3,20,3,2070.972,157.0,158.248,0.101,27,2812,5918,426,32,27123,3170,573,go-kart,0.83,0.76,0.079
27,subject_radio.webp,gauss_quantization_high_quality.yaml,2,8,10,3,20,3,839.267,120.704,121.952,0.236,126,546,1322,177,25,9814,547,754,radio,0.97,0.97,0.001
28,landscape_crowd.tif,gauss_quantization_moderate.yaml,2,8,60,6,75,6,173.036,15.135,16.492,0.009,22,2357,4879,42,5,5464,3062,981,ballplayer,0.16,0.1,0.391
29,landscape_el_capitain_with_night_sky.webp,gauss_quantization_moderate.yaml,2,8,60,6,75,6,40.083,4.983,6.341,0.008,108,618,1259,8,1,1361,757,972,cliff,0.45,0.21,0.525
30,landscape_hill.png,gauss_quantization_moderate.yaml,2,8,60,6,75,6,211.37,14.99,16.348,0.016,254,2207,3150,45,4,4690,1848,984,rapeseed,0.25,0.28,0.15
31,landscape_iceberg.webp,gauss_quantization_moderate.yaml,2,8,60,6,75,6,17.969,8.108,9.464,0.029,35,159,228,6,1,380,130,296,ice bear,0.17,0.14,0.19
32,subject_Brooklyn_bridge.webp,gauss_quantization_moderate.yaml,2,8,60,6,75,6,77.513,15.531,16.888,0.03,95,370,769,17,3,1810,437,718,pier,0.88,0.88,0.001
33,subject_bunny.tif,gauss_quantization_moderate.yaml,2,8,60,6,75,6,524.045,13.182,14.539,0.024,20,2384,5024,108,5,9146,2970,330,wood rabbit,0.51,0.48,0.051
